date,unemployment
1948,3.75
1949,6.05
1950,5.208333333333333
1951,3.2833333333333337
1952,3.0250000000000004
1953,2.9250000000000003
1954,5.591666666666666
1955,4.366666666666667
1956,4.125
1957,4.3
1958,6.841666666666666
1959,5.45
1960,5.541666666666667
1961,6.691666666666666
1962,5.566666666666667
1963,5.641666666666667
1964,5.158333333333333
1965,4.508333333333334
1966,3.7916666666666665
1967,3.8416666666666663
1968,3.558333333333333
1969,3.4916666666666667
1970,4.983333333333333
1971,5.95
1972,5.6000000000000005
1973,4.8583333333333325
1974,5.641666666666667
1975,8.475
1976,7.699999999999999
1977,7.050000000000001
1978,6.066666666666666
1979,5.8500000000000005
1980,7.175000000000001
1981,7.616666666666667
1982,9.708333333333332
1983,9.6
1984,7.508333333333334
1985,7.191666666666666
1986,7.0
1987,6.175000000000001
1988,5.491666666666666
1989,5.258333333333333
1990,5.616666666666666
1991,6.849999999999999
1992,7.491666666666667
1993,6.908333333333332
1994,6.1000000000000005
1995,5.591666666666668
1996,5.408333333333334
1997,4.941666666666666
1998,4.5
1999,4.216666666666668
2000,3.9666666666666663
2001,4.741666666666666
2002,5.783333333333334
2003,5.991666666666667
2004,5.541666666666667
2005,5.083333333333333
2006,4.608333333333333
2007,4.616666666666667
2008,5.8
2009,9.283333333333333
2010,9.608333333333333
2011,8.933333333333334
2012,8.075000000000001
2013,7.358333333333334
2014,6.158333333333334
2015,5.275
2016,4.875
